Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,101.000000,101.000000,89.900002,92.199997,91.065346,125893617
2021-04-13,92.300003,96.300003,91.550003,95.849998,94.670425,76861733
2021-04-15,94.699997,96.699997,93.300003,94.150002,92.991348,38846301
2021-04-16,95.000000,97.949997,94.050003,97.150002,95.954430,49515934
2021-04-19,92.400002,94.949997,91.800003,93.800003,92.645660,43657515
2021-04-20,96.000000,96.000000,92.400002,93.599998,92.448112,35631799
2021-04-22,94.000000,95.000000,92.400002,94.250000,93.090118,34186730
2021-04-23,94.199997,96.900002,93.550003,95.650002,94.472893,40943046
2021-04-26,95.699997,97.150002,95.500000,96.300003,95.114891,24546834
2021-04-27,96.949997,98.449997,96.400002,98.000000,96.793968,26892254
2021-04-28,98.599998,99.150002,97.650002,97.949997,96.744583,32345591
2021-04-29,98.900002,100.199997,97.449997,97.650002,96.448273,39809692
2021-04-30,96.949997,101.400002,96.250000,98.849998,97.633507,40125740
2021-05-03,97.949997,100.400002,96.349998,99.849998,98.621201,37404501
2021-05-04,100.599998,103.400002,100.000000,101.050003,99.806435,55562146
2021-05-05,102.400002,102.949997,100.250000,102.000000,100.744743,25421812
2021-05-06,102.550003,104.650002,101.599998,102.900002,101.633667,35150275
2021-05-07,103.849998,103.949997,102.250000,102.699997,101.436127,28791094
2021-05-10,103.750000,110.500000,103.199997,109.949997,108.596901,70028129
2021-05-11,109.000000,111.150002,107.099998,109.349998,108.004288,64737614
2021-05-12,110.349998,110.550003,105.150002,106.599998,105.288132,61946163
2021-05-14,106.349998,108.000000,101.000000,101.500000,100.250893,66640242
2021-05-17,102.500000,104.300003,101.650002,103.449997,102.176895,40412520
2021-05-18,105.000000,107.349998,104.650002,105.349998,104.053513,40666745
2021-05-19,105.050003,107.000000,103.900002,104.250000,102.967049,31394002
2021-05-20,105.199997,105.449997,102.449997,102.949997,101.683044,19494462
2021-05-21,103.849998,106.000000,103.300003,104.900002,103.609055,27004076
2021-05-24,105.599998,107.949997,104.500000,107.300003,105.979523,41530007
2021-05-25,108.300003,109.349998,106.650002,107.449997,106.127670,35294915
2021-05-26,108.000000,108.300003,105.800003,106.099998,104.794281,26772472
2021-05-27,106.099998,107.000000,104.900002,106.349998,105.041206,21200089
2021-05-28,107.199997,107.500000,105.099998,105.349998,104.053513,19973552
2021-05-31,105.300003,106.949997,103.800003,106.449997,105.139977,29739476
2021-06-01,106.400002,106.400002,103.699997,104.650002,103.362129,25038000
2021-06-02,104.500000,108.400002,104.349998,108.099998,106.769669,31238619
2021-06-03,110.000000,110.500000,107.900002,108.650002,107.312904,38360946
2021-06-04,109.099998,109.099998,107.000000,108.150002,106.819061,19048139
2021-06-07,109.000000,115.000000,108.300003,113.349998,111.955063,95358858
2021-06-08,114.400002,119.199997,114.000000,117.050003,115.609535,93023993
2021-06-09,120.750000,132.699997,119.000000,124.650002,123.116005,360661838
2021-06-10,128.000000,130.399994,125.099998,127.599998,126.029694,140351463
2021-06-11,128.750000,128.750000,124.250000,125.699997,124.153076,62530141
2021-06-14,126.250000,126.250000,116.599998,123.400002,121.881386,86326236
2021-06-15,125.000000,125.599998,121.699997,122.150002,120.646767,45450324
2021-06-16,122.000000,127.900002,120.150002,125.949997,124.400002,84445896
2021-06-17,123.949997,126.900002,122.300003,123.949997,123.949997,73801920
2021-06-18,124.349998,124.699997,116.949997,121.449997,121.449997,73972898
2021-06-21,118.199997,124.000000,117.949997,123.300003,123.300003,44593802
2021-06-22,124.199997,125.099998,120.900002,121.449997,121.449997,44246677
2021-06-23,122.500000,123.199997,120.550003,120.750000,120.750000,29338636
2021-06-24,120.750000,121.449997,118.199997,118.849998,118.849998,28009357
2021-06-25,119.900002,122.599998,119.550003,121.099998,121.099998,25945027
2021-06-28,122.000000,123.500000,120.800003,122.550003,122.550003,27616278
2021-06-29,122.949997,124.750000,121.750000,122.800003,122.800003,30981874
2021-06-30,123.400002,123.900002,121.699997,122.099998,122.099998,30099781
2021-07-01,122.800003,122.800003,121.000000,121.349998,121.349998,18570986
2021-07-02,122.000000,122.599998,120.599998,120.949997,120.949997,22789936
2021-07-05,121.949997,126.900002,121.750000,125.900002,125.900002,61606669
2021-07-06,126.000000,126.500000,122.050003,123.000000,123.000000,31062811
2021-07-07,123.000000,124.500000,122.150002,123.849998,123.849998,19773453
2021-07-08,124.099998,126.849998,122.400002,123.400002,123.400002,33870196
2021-07-09,123.000000,124.800003,121.699997,124.449997,124.449997,24078290
2021-07-12,126.000000,126.300003,123.449997,123.800003,123.800003,26731429
2021-07-13,124.199997,125.250000,122.949997,124.050003,124.050003,19316578
2021-07-14,125.000000,126.000000,124.099998,124.550003,124.550003,23276074
2021-07-15,124.849998,126.500000,124.150002,124.449997,124.449997,22522585
2021-07-16,125.400002,125.400002,123.650002,124.150002,124.150002,13479996
2021-07-19,126.250000,128.449997,124.599998,125.800003,125.800003,65614163
2021-07-20,125.650002,126.349998,121.199997,121.800003,121.800003,48822351
2021-07-22,123.400002,124.199997,122.400002,123.699997,123.699997,20890960
2021-07-23,124.900002,125.449997,122.599998,122.900002,122.900002,18344408
2021-07-26,123.000000,123.750000,122.099998,122.599998,122.599998,14838935
2021-07-27,122.800003,123.750000,120.199997,121.150002,121.150002,16292819
2021-07-28,121.449997,121.849998,118.400002,120.349998,120.349998,19451371
2021-07-29,120.750000,124.000000,120.699997,122.750000,122.750000,16366211
2021-07-30,122.599998,126.650002,122.300003,125.000000,125.000000,30163350
2021-08-02,126.550003,134.000000,125.550003,133.449997,133.449997,102355625
2021-08-03,134.399994,135.500000,132.199997,132.600006,132.600006,50457587
2021-08-04,133.000000,134.649994,130.100006,131.649994,131.649994,33758053
2021-08-05,132.149994,135.399994,129.600006,134.550003,134.550003,39952286
2021-08-06,135.250000,136.800003,134.300003,135.149994,135.149994,47743493
2021-08-09,137.000000,137.000000,130.300003,132.050003,132.050003,66874756
2021-08-10,132.449997,133.750000,127.050003,130.050003,130.050003,31526384
2021-08-11,130.300003,131.649994,126.500000,129.600006,129.600006,32222624
2021-08-12,130.250000,134.199997,129.850006,133.649994,133.649994,31898731
2021-08-13,134.350006,134.500000,132.000000,132.550003,132.550003,23715152
2021-08-16,132.550003,134.050003,131.649994,132.100006,132.100006,17472608
2021-08-17,132.100006,132.949997,128.500000,131.100006,131.100006,21755033
2021-08-18,131.699997,131.800003,130.100006,130.449997,130.449997,18082061
2021-08-20,129.000000,130.199997,125.250000,126.199997,126.199997,27402061
2021-08-23,127.099998,127.849998,121.699997,124.949997,124.949997,30434681
2021-08-24,125.000000,126.599998,123.650002,125.900002,125.900002,22809811
2021-08-25,126.400002,127.500000,125.500000,126.050003,126.050003,18144345
2021-08-26,126.449997,126.599998,124.550003,125.650002,125.650002,16968193
2021-08-27,125.650002,127.599998,125.199997,127.250000,127.250000,12708091
2021-08-30,128.399994,130.100006,128.000000,129.149994,129.149994,17545528
2021-08-31,130.300003,130.699997,128.250000,129.050003,129.050003,24301446
2021-09-01,129.699997,134.250000,128.699997,133.399994,133.399994,31166001
2021-09-02,133.850006,134.800003,132.600006,133.600006,133.600006,25276744
2021-09-03,134.050003,135.449997,133.250000,133.850006,133.850006,19000628
2021-09-06,134.399994,134.600006,132.000000,132.199997,132.199997,14304796
2021-09-07,132.399994,132.550003,129.250000,130.050003,130.050003,14561241
2021-09-08,130.600006,133.500000,129.500000,133.250000,133.250000,16351745
2021-09-09,133.199997,134.300003,131.750000,132.750000,132.750000,14453584
2021-09-13,132.750000,132.750000,130.399994,131.050003,131.050003,13771980
2021-09-14,131.500000,133.300003,131.300003,133.000000,133.000000,13305823
2021-09-15,133.100006,142.300003,132.800003,140.050003,140.050003,68917060
2021-09-16,140.000000,142.000000,138.500000,140.250000,140.250000,24490647
2021-09-17,140.850006,141.500000,136.100006,137.899994,137.899994,27560843
2021-09-20,137.600006,139.350006,133.199997,134.300003,134.300003,21535092
2021-09-21,134.750000,136.300003,131.199997,135.850006,135.850006,22526116
2021-09-22,136.949997,139.649994,136.399994,137.850006,137.850006,21321952
2021-09-23,139.199997,144.899994,138.750000,143.649994,143.649994,42890085
2021-09-24,145.000000,145.350006,138.699997,139.100006,139.100006,29040576
2021-09-27,140.300003,140.399994,136.750000,138.750000,138.750000,18192368
2021-09-28,140.000000,142.850006,139.050003,140.050003,140.050003,29196888
2021-09-29,139.800003,158.750000,138.899994,151.600006,151.600006,126746990
2021-09-30,152.500000,161.199997,151.300003,158.750000,158.750000,111302311
2021-10-01,158.750000,164.949997,156.600006,163.750000,163.750000,90310679
2021-10-04,166.250000,172.500000,164.000000,168.600006,168.600006,93787605
2021-10-05,169.000000,184.750000,168.350006,179.399994,179.399994,161189379
2021-10-06,182.850006,182.850006,172.800003,175.949997,175.949997,101232618
2021-10-07,178.350006,184.000000,176.850006,177.750000,177.750000,73313810
2021-10-08,180.149994,180.199997,175.000000,176.850006,176.850006,43365657
2021-10-11,177.850006,193.699997,177.000000,191.500000,191.500000,126307288
2021-10-12,194.899994,198.699997,189.800003,195.800003,195.800003,104950239
2021-10-13,201.649994,232.399994,200.000000,224.199997,224.199997,305037222
2021-10-14,235.000000,237.000000,220.699997,222.600006,222.600006,126938132
2021-10-18,227.500000,264.850006,223.100006,257.299988,257.299988,273591610
2021-10-19,266.000000,267.850006,221.500000,229.750000,229.750000,245771135
2021-10-20,225.000000,236.300003,217.500000,230.350006,230.350006,219286012
2021-10-21,234.000000,234.399994,220.550003,226.149994,226.149994,82393222
2021-10-22,228.500000,233.800003,216.000000,222.000000,222.000000,85764004
2021-10-25,224.600006,224.899994,208.000000,213.600006,213.600006,92057542
2021-10-26,215.050003,232.300003,214.250000,225.300003,225.300003,113036438
2021-10-27,231.500000,232.699997,222.699997,224.250000,224.250000,78577000
2021-10-28,224.800003,224.800003,216.600006,218.000000,218.000000,64733467
2021-10-29,210.500000,217.699997,201.399994,214.300003,214.300003,115032835
2021-11-01,219.949997,225.199997,214.399994,222.949997,222.949997,59687720
2021-11-02,228.000000,235.000000,227.250000,228.500000,228.500000,91597155
2021-11-03,230.000000,230.899994,226.199997,228.800003,228.800003,49974804
2021-11-04,231.800003,233.149994,230.600006,231.350006,231.350006,14860447
